category,item_key,name,qty,notes,aliexpress_url,amazon_url,pcbway_url,other_urls,all_urls
Power Supply and Management,servo-discs,Servo Discs,10,with screws.,https://s.click.aliexpress.com/e/_c3ajtifh,https://geni.us/ZDgXW,,,https://s.click.aliexpress.com/e/_c3ajtifh | https://geni.us/ZDgXW
PCB Parts,magnets,Magnets,8,Used to hold fans in place,https://s.click.aliexpress.com/e/_c4PVNdwL,https://geni.us/OPu9pBg,,,https://s.click.aliexpress.com/e/_c4PVNdwL | https://geni.us/OPu9pBg
PCB Parts,rod-ends-long,"Rod ends,Long",4,S 3mm L30mm M3,https://s.click.aliexpress.com/e/_c4BWGoqR,https://geni.us/DR5Z7v,,,https://s.click.aliexpress.com/e/_c4BWGoqR | https://geni.us/DR5Z7v
PCB Parts,rod-long,Rod long,4,90mm long (cut if needed),https://s.click.aliexpress.com/e/_c3NNQAiP,,,,https://s.click.aliexpress.com/e/_c3NNQAiP
PCB Parts,rod-ends-short,Rod ends Short,4,N 3mm L20mm M3,https://s.click.aliexpress.com/e/_c4BWGoqR,https://geni.us/BkDvnH,,,https://s.click.aliexpress.com/e/_c4BWGoqR | https://geni.us/BkDvnH
PCB Parts,rod-short,Rod short,2,16mm long (cut if needed),https://s.click.aliexpress.com/e/_c3NNQAiP,,,,https://s.click.aliexpress.com/e/_c3NNQAiP
PCB Parts,logic-level-converter,Logic Level Converter,1,For adjusting voltage between the pi and the nano,https://s.click.aliexpress.com/e/_c2wzgmJt,https://geni.us/3TiJfB,,,https://s.click.aliexpress.com/e/_c2wzgmJt | https://geni.us/3TiJfB
PCB Parts,m3-threaded-inserts,M3 threaded inserts,1,"Pack of 100, M3xD4.6xL4.0",https://s.click.aliexpress.com/e/_c3t5s4td,https://geni.us/9sAZlUn,,,https://s.click.aliexpress.com/e/_c3t5s4td | https://geni.us/9sAZlUn
PCB Parts,xt60h-connector,XT60H Connector,1,To connect LiPo to the robot,https://s.click.aliexpress.com/e/_c3piOj51,https://geni.us/aVZdcGf,,,https://s.click.aliexpress.com/e/_c3piOj51 | https://geni.us/aVZdcGf
PCB Parts,on-off-switch,On/off Switch,1,20A at 14VDC rated,https://s.click.aliexpress.com/e/_c2x5Xvx9,https://geni.us/dgsSxN,,,https://s.click.aliexpress.com/e/_c2x5Xvx9 | https://geni.us/dgsSxN
